,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
3596,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6137063,True,349900,2021,6/2021,39000,479,77.0,299,6.2,Grå,True
3644,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6120719,True,309900,2022,9/2022,37000,487,77.0,174,10.4,Mørkblåmetal,False
3653,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/5974504,True,289700,2021,1/2021,28000,490,77.0,204,8.5,Koksmetal,False
3690,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6131778,True,299900,2021,4/2021,34000,506,76.6,204,8.5,Gråmetal,False
3700,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6145933,True,289995,2022,2/2022,24000,517,77.0,204,8.5,Sortmetal,False
3722,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6090436,True,214900,2022,10/2021,38000,343,52.0,170,9.0,Grå,False
3729,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6086520,True,359000,2022,3/2022,31000,476,77.0,299,6.2,Rødmetal,True
3746,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6106258,True,269900,2022,2/2021,40500,514,76.6,204,8.5,Grå,False
3750,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6101959,True,299900,2021,4/2021,33000,517,77.0,204,8.5,Hvidmetal,False
3757,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6020286,True,369900,2021,7/2021,29000,479,77.0,299,6.2,Gråmetal,True
3771,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158047,True,284900,2022,4/2022,33000,517,77.0,204,8.5,Grå,False
3776,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6140595,True,284900,2021,3/2021,40000,490,76.6,204,8.5,Hvidmetal,False
3789,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6140455,True,289900,2021,12/2021,35000,490,76.6,204,8.5,Guldmetal,False
3799,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6153533,True,269900,2021,5/2021,40500,490,77.0,204,8.5,Blå,False
3808,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/5939200,True,295000,2021,6/2021,49000,490,77.0,204,8.5,Hvid,False
3824,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6149002,True,219900,2021,11/2021,47500,343,52.0,148,10.9,Grå,False
3844,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157469,True,279800,2022,10/2022,25000,514,76.6,204,8.5,Grå,False
3855,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6147429,True,284900,2021,5/2021,35000,490,76.6,204,8.5,Gråmetal,False
3857,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6123210,True,314900,2021,8/2021,26300,506,76.6,204,8.5,Blåmetal,False
3860,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6126014,True,319900,2023,12/2022,25000,531,76.6,204,8.5,Gråmetal,False
3871,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6061147,True,249900,2021,8/2021,25000,343,52.0,170,9.0,Sølvmetal,False
3916,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6146628,True,279800,2021,12/2020,48000,500,76.6,204,8.5,Sortmetal,False
3920,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6158245,True,339900,2023,11/2022,32000,496,76.6,299,6.2,Grå,True
3924,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6146839,True,279900,2021,4/2021,29500,490,76.6,204,8.5,Koksmetal,False
3948,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137658,True,287900,2022,3/2022,35000,514,76.6,204,8.5,Hvidmetal,False
3955,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5999417,True,339900,2021,8/2021,42500,479,77.0,299,6.2,Hvidmetal,True
3956,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6092458,True,239700,2022,1/2022,30000,343,52.0,148,10.9,Grå,False
3971,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6116857,True,279900,2022,6/2022,44000,514,76.6,204,8.5,Hvidmetal,False
3994,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-family-5d/6155431,True,279997,2022,8/2021,42000,511,76.6,204,8.5,Blåmetal,False
4006,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6002249,True,389900,2022,8/2022,25000,476,77.0,299,6.2,Grå,True
4012,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-5d/6071469,True,289900,2021,12/2020,44000,499,77.0,204,8.5,Gråmetal,False
4015,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6031542,True,309780,2021,10/2021,38000,479,77.0,299,6.2,Sortmetal,True
4034,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6138332,True,269700,2021,4/2021,44000,517,76.6,204,8.5,Blåmetal,False
4037,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6126422,True,349900,2021,7/2021,45000,479,76.6,299,6.2,Sølvmetal,True
4044,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6146138,True,317000,2023,12/2022,36000,531,76.6,204,8.5,Blå,False
4056,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6147742,True,269900,2021,3/2021,46000,490,76.6,204,8.5,Gråmetal,False
4093,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6146023,True,349700,2023,11/2022,42000,496,76.6,299,6.2,Hvid,True
4104,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6135985,True,289700,2021,7/2021,29000,490,76.6,204,8.5,Koksmetal,False
4133,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6022996,True,339000,2022,9/2022,36000,476,77.0,299,6.2,Rødmetal,True
